"County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Annual Earnings","2011","Co. Kildare","Public administration and defence; compulsory social security (O)","Euro","51456"
"Mean Annual Earnings","2011","Co. Kildare","Education (P)","Euro","49699"
"Mean Annual Earnings","2011","Co. Kildare","Human health and social work activities (Q)","Euro","36993"
"Mean Annual Earnings","2011","Co. Kildare","Industry (B to E)","Euro","49429"
"Mean Annual Earnings","2011","Co. Kildare","Financial, insurance and real estate activities (K,L)","Euro","54677"
"Mean Annual Earnings","2011","Co. Kildare","Arts, entertainment, recreation and other service activities (R,S)","Euro","28467"
"Mean Annual Earnings","2011","Co. Kilkenny","All NACE economic sectors","Euro","36856"
"Mean Annual Earnings","2011","Co. Kilkenny","Construction (F)","Euro","37615"
"Mean Annual Earnings","2011","Co. Kilkenny","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","26138"
"Mean Annual Earnings","2011","Co. Kilkenny","Transportation and storage (H)","Euro","32050"
"Mean Annual Earnings","2011","Co. Kilkenny","Accommodation and food service activities (I)","Euro","19964"
"Mean Annual Earnings","2011","Co. Kilkenny","Information and communication (J)","Euro","48292"
"Mean Annual Earnings","2011","Co. Kilkenny","Professional, scientific and technical activities (M)","Euro","36898"
"Mean Annual Earnings","2011","Co. Kilkenny","Administrative and support service activities (N)","Euro","24510"
"Mean Annual Earnings","2011","Co. Kilkenny","Public administration and defence; compulsory social security (O)","Euro","46588"
"Mean Annual Earnings","2011","Co. Kilkenny","Education (P)","Euro","47215"
"Mean Annual Earnings","2011","Co. Kilkenny","Human health and social work activities (Q)","Euro","35707"
"Mean Annual Earnings","2011","Co. Kilkenny","Industry (B to E)","Euro","46834"
"Mean Annual Earnings","2011","Co. Kilkenny","Financial, insurance and real estate activities (K,L)","Euro","42513"
"Mean Annual Earnings","2011","Co. Kilkenny","Arts, entertainment, recreation and other service activities (R,S)","Euro","24573"
"Mean Annual Earnings","2011","Co. Kerry","All NACE economic sectors","Euro","34455"
"Mean Annual Earnings","2011","Co. Kerry","Construction (F)","Euro","32084"
"Mean Annual Earnings","2011","Co. Kerry","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","24086"
"Mean Annual Earnings","2011","Co. Kerry","Transportation and storage (H)","Euro","31686"
"Mean Annual Earnings","2011","Co. Kerry","Accommodation and food service activities (I)","Euro","19547"
"Mean Annual Earnings","2011","Co. Kerry","Information and communication (J)","Euro","41515"
"Mean Annual Earnings","2011","Co. Kerry","Professional, scientific and technical activities (M)","Euro","42514"
"Mean Annual Earnings","2011","Co. Kerry","Administrative and support service activities (N)","Euro","21492"
"Mean Annual Earnings","2011","Co. Kerry","Public administration and defence; compulsory social security (O)","Euro","43765"
