"Statistic Label","Quarter","Employees Size","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Weekly Earnings","2009Q4","50 - 250","Industry (B to E)","Euro","751.4"
"Average Weekly Earnings","2009Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1140.57"
"Average Weekly Earnings","2009Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","641.4"
"Average Weekly Earnings","2010Q1","50 - 250","All NACE economic sectors","Euro","657.73"
"Average Weekly Earnings","2010Q1","50 - 250","Construction (F)","Euro","933.1"
"Average Weekly Earnings","2010Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","566.52"
"Average Weekly Earnings","2010Q1","50 - 250","Transportation and storage (H)","Euro","674.15"
"Average Weekly Earnings","2010Q1","50 - 250","Accommodation and food service activities (I)","Euro","325.66"
"Average Weekly Earnings","2010Q1","50 - 250","Information and communication (J)","Euro","981.85"
"Average Weekly Earnings","2010Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1081.45"
"Average Weekly Earnings","2010Q1","50 - 250","Administrative and support service activities (N)","Euro","530.14"
"Average Weekly Earnings","2010Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1045.91"
"Average Weekly Earnings","2010Q1","50 - 250","Education (P)","Euro","609.9"
"Average Weekly Earnings","2010Q1","50 - 250","Human health and social work activities (Q)","Euro","508.7"
"Average Weekly Earnings","2010Q1","50 - 250","Industry (B to E)","Euro","721.88"
"Average Weekly Earnings","2010Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1259.92"
"Average Weekly Earnings","2010Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","581.76"
"Average Weekly Earnings","2010Q2","50 - 250","All NACE economic sectors","Euro","655.83"
"Average Weekly Earnings","2010Q2","50 - 250","Construction (F)","Euro","864.31"
"Average Weekly Earnings","2010Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","575.3"
"Average Weekly Earnings","2010Q2","50 - 250","Transportation and storage (H)","Euro","718.89"
"Average Weekly Earnings","2010Q2","50 - 250","Accommodation and food service activities (I)","Euro","354.59"
"Average Weekly Earnings","2010Q2","50 - 250","Information and communication (J)","Euro","956.59"
"Average Weekly Earnings","2010Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","962.76"
"Average Weekly Earnings","2010Q2","50 - 250","Administrative and support service activities (N)","Euro","538.76"
"Average Weekly Earnings","2010Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1084.42"
"Average Weekly Earnings","2010Q2","50 - 250","Education (P)","Euro","608.71"
"Average Weekly Earnings","2010Q2","50 - 250","Human health and social work activities (Q)","Euro","515.4"
"Average Weekly Earnings","2010Q2","50 - 250","Industry (B to E)","Euro","739.32"
"Average Weekly Earnings","2010Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1139.1"
"Average Weekly Earnings","2010Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","559.56"
"Average Weekly Earnings","2010Q3","50 - 250","All NACE economic sectors","Euro","639.56"
"Average Weekly Earnings","2010Q3","50 - 250","Construction (F)","Euro","891.78"
"Average Weekly Earnings","2010Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","563.75"
"Average Weekly Earnings","2010Q3","50 - 250","Transportation and storage (H)","Euro","684.48"
"Average Weekly Earnings","2010Q3","50 - 250","Accommodation and food service activities (I)","Euro","368.4"
"Average Weekly Earnings","2010Q3","50 - 250","Information and communication (J)","Euro","934.7"
"Average Weekly Earnings","2010Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","937.04"
"Average Weekly Earnings","2010Q3","50 - 250","Administrative and support service activities (N)","Euro","521.81"
"Average Weekly Earnings","2010Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1054.46"
"Average Weekly Earnings","2010Q3","50 - 250","Education (P)","Euro","557.54"
"Average Weekly Earnings","2010Q3","50 - 250","Human health and social work activities (Q)","Euro","521.55"
"Average Weekly Earnings","2010Q3","50 - 250","Industry (B to E)","Euro","750.03"
"Average Weekly Earnings","2010Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","969.72"
"Average Weekly Earnings","2010Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","618.93"
"Average Weekly Earnings","2010Q4","50 - 250","All NACE economic sectors","Euro","649.53"
"Average Weekly Earnings","2010Q4","50 - 250","Construction (F)","Euro","917.81"
"Average Weekly Earnings","2010Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","596.36"
"Average Weekly Earnings","2010Q4","50 - 250","Transportation and storage (H)","Euro","651.74"
"Average Weekly Earnings","2010Q4","50 - 250","Accommodation and food service activities (I)","Euro","354.38"
"Average Weekly Earnings","2010Q4","50 - 250","Information and communication (J)","Euro","913.08"
"Average Weekly Earnings","2010Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","974.47"
"Average Weekly Earnings","2010Q4","50 - 250","Administrative and support service activities (N)","Euro","511.08"
"Average Weekly Earnings","2010Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1073.74"
"Average Weekly Earnings","2010Q4","50 - 250","Education (P)","Euro","549.46"
"Average Weekly Earnings","2010Q4","50 - 250","Human health and social work activities (Q)","Euro","528.14"
"Average Weekly Earnings","2010Q4","50 - 250","Industry (B to E)","Euro","756.41"
"Average Weekly Earnings","2010Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1103.27"
"Average Weekly Earnings","2010Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","561.12"
"Average Weekly Earnings","2011Q1","50 - 250","All NACE economic sectors","Euro","640.85"
"Average Weekly Earnings","2011Q1","50 - 250","Construction (F)","Euro","826.96"
"Average Weekly Earnings","2011Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","564.23"
"Average Weekly Earnings","2011Q1","50 - 250","Transportation and storage (H)","Euro","650.1"
"Average Weekly Earnings","2011Q1","50 - 250","Accommodation and food service activities (I)","Euro","325.42"
"Average Weekly Earnings","2011Q1","50 - 250","Information and communication (J)","Euro","970.88"
"Average Weekly Earnings","2011Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1109.23"
"Average Weekly Earnings","2011Q1","50 - 250","Administrative and support service activities (N)","Euro","523.39"
"Average Weekly Earnings","2011Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1030.48"
"Average Weekly Earnings","2011Q1","50 - 250","Education (P)","Euro","606.07"
"Average Weekly Earnings","2011Q1","50 - 250","Human health and social work activities (Q)","Euro","504.95"
"Average Weekly Earnings","2011Q1","50 - 250","Industry (B to E)","Euro","722.55"
"Average Weekly Earnings","2011Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1144.42"
"Average Weekly Earnings","2011Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","494.77"
"Average Weekly Earnings","2011Q2","50 - 250","All NACE economic sectors","Euro","641.44"
"Average Weekly Earnings","2011Q2","50 - 250","Construction (F)","Euro","868.25"
"Average Weekly Earnings","2011Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","581.28"
"Average Weekly Earnings","2011Q2","50 - 250","Transportation and storage (H)","Euro","647.21"
"Average Weekly Earnings","2011Q2","50 - 250","Accommodation and food service activities (I)","Euro","350.24"
"Average Weekly Earnings","2011Q2","50 - 250","Information and communication (J)","Euro","936.52"
"Average Weekly Earnings","2011Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","1008.58"
"Average Weekly Earnings","2011Q2","50 - 250","Administrative and support service activities (N)","Euro","537.4"
"Average Weekly Earnings","2011Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1075.87"
"Average Weekly Earnings","2011Q2","50 - 250","Education (P)","Euro","583.23"
"Average Weekly Earnings","2011Q2","50 - 250","Human health and social work activities (Q)","Euro","485.74"
"Average Weekly Earnings","2011Q2","50 - 250","Industry (B to E)","Euro","735.19"
"Average Weekly Earnings","2011Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1065.09"
"Average Weekly Earnings","2011Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","512.62"
"Average Weekly Earnings","2011Q3","50 - 250","All NACE economic sectors","Euro","628.97"
"Average Weekly Earnings","2011Q3","50 - 250","Construction (F)","Euro","904.13"
"Average Weekly Earnings","2011Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","565.33"
"Average Weekly Earnings","2011Q3","50 - 250","Transportation and storage (H)","Euro","646.2"
"Average Weekly Earnings","2011Q3","50 - 250","Accommodation and food service activities (I)","Euro","364.68"
"Average Weekly Earnings","2011Q3","50 - 250","Information and communication (J)","Euro","922.02"
"Average Weekly Earnings","2011Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","968.29"
"Average Weekly Earnings","2011Q3","50 - 250","Administrative and support service activities (N)","Euro","491.57"
"Average Weekly Earnings","2011Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1049.36"
"Average Weekly Earnings","2011Q3","50 - 250","Education (P)","Euro","547.22"
"Average Weekly Earnings","2011Q3","50 - 250","Human health and social work activities (Q)","Euro","488.62"
"Average Weekly Earnings","2011Q3","50 - 250","Industry (B to E)","Euro","735.6"
"Average Weekly Earnings","2011Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1038.69"
"Average Weekly Earnings","2011Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","475.13"
"Average Weekly Earnings","2011Q4","50 - 250","All NACE economic sectors","Euro","651.39"
"Average Weekly Earnings","2011Q4","50 - 250","Construction (F)","Euro","907.39"
"Average Weekly Earnings","2011Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","577.65"
"Average Weekly Earnings","2011Q4","50 - 250","Transportation and storage (H)","Euro","663.82"
"Average Weekly Earnings","2011Q4","50 - 250","Accommodation and food service activities (I)","Euro","356.82"
"Average Weekly Earnings","2011Q4","50 - 250","Information and communication (J)","Euro","1032.14"
"Average Weekly Earnings","2011Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","975.24"
"Average Weekly Earnings","2011Q4","50 - 250","Administrative and support service activities (N)","Euro","535.59"
"Average Weekly Earnings","2011Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1073.27"
"Average Weekly Earnings","2011Q4","50 - 250","Education (P)","Euro","580.92"
"Average Weekly Earnings","2011Q4","50 - 250","Human health and social work activities (Q)","Euro","492.64"
"Average Weekly Earnings","2011Q4","50 - 250","Industry (B to E)","Euro","765.88"
"Average Weekly Earnings","2011Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1047.72"
"Average Weekly Earnings","2011Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","527.32"
"Average Weekly Earnings","2012Q1","50 - 250","All NACE economic sectors","Euro","653.26"
"Average Weekly Earnings","2012Q1","50 - 250","Construction (F)","Euro","880.63"
"Average Weekly Earnings","2012Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","572.56"
"Average Weekly Earnings","2012Q1","50 - 250","Transportation and storage (H)","Euro","663.76"
"Average Weekly Earnings","2012Q1","50 - 250","Accommodation and food service activities (I)","Euro","328.78"
"Average Weekly Earnings","2012Q1","50 - 250","Information and communication (J)","Euro","1049.15"
"Average Weekly Earnings","2012Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1247.31"
"Average Weekly Earnings","2012Q1","50 - 250","Administrative and support service activities (N)","Euro","517.8"
"Average Weekly Earnings","2012Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1049.27"
"Average Weekly Earnings","2012Q1","50 - 250","Education (P)","Euro","541.75"
"Average Weekly Earnings","2012Q1","50 - 250","Human health and social work activities (Q)","Euro","470.42"
"Average Weekly Earnings","2012Q1","50 - 250","Industry (B to E)","Euro","743.46"
"Average Weekly Earnings","2012Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1178.31"
"Average Weekly Earnings","2012Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","507.65"
"Average Weekly Earnings","2012Q2","50 - 250","All NACE economic sectors","Euro","639.53"
"Average Weekly Earnings","2012Q2","50 - 250","Construction (F)","Euro","901.67"
"Average Weekly Earnings","2012Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","572.76"
"Average Weekly Earnings","2012Q2","50 - 250","Transportation and storage (H)","Euro","689.23"
"Average Weekly Earnings","2012Q2","50 - 250","Accommodation and food service activities (I)","Euro","342.68"
"Average Weekly Earnings","2012Q2","50 - 250","Information and communication (J)","Euro","996.01"
"Average Weekly Earnings","2012Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","966.07"
"Average Weekly Earnings","2012Q2","50 - 250","Administrative and support service activities (N)","Euro","521.57"
"Average Weekly Earnings","2012Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1032.57"
"Average Weekly Earnings","2012Q2","50 - 250","Education (P)","Euro","562.44"
"Average Weekly Earnings","2012Q2","50 - 250","Human health and social work activities (Q)","Euro","474.52"
"Average Weekly Earnings","2012Q2","50 - 250","Industry (B to E)","Euro","734.2"
"Average Weekly Earnings","2012Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1097.12"
"Average Weekly Earnings","2012Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","499.64"
"Average Weekly Earnings","2012Q3","50 - 250","All NACE economic sectors","Euro","619.81"
"Average Weekly Earnings","2012Q3","50 - 250","Construction (F)","Euro","909.85"
"Average Weekly Earnings","2012Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","551.44"
"Average Weekly Earnings","2012Q3","50 - 250","Transportation and storage (H)","Euro","692.51"
"Average Weekly Earnings","2012Q3","50 - 250","Accommodation and food service activities (I)","Euro","362.68"
"Average Weekly Earnings","2012Q3","50 - 250","Information and communication (J)","Euro","949.34"
"Average Weekly Earnings","2012Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","980.28"
"Average Weekly Earnings","2012Q3","50 - 250","Administrative and support service activities (N)","Euro","518.03"
"Average Weekly Earnings","2012Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1061"
"Average Weekly Earnings","2012Q3","50 - 250","Education (P)","Euro","465.8"
"Average Weekly Earnings","2012Q3","50 - 250","Human health and social work activities (Q)","Euro","466.61"
"Average Weekly Earnings","2012Q3","50 - 250","Industry (B to E)","Euro","723.87"
"Average Weekly Earnings","2012Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1000.59"
"Average Weekly Earnings","2012Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","512.6"
"Average Weekly Earnings","2012Q4","50 - 250","All NACE economic sectors","Euro","650.71"
"Average Weekly Earnings","2012Q4","50 - 250","Construction (F)","Euro","960.69"
"Average Weekly Earnings","2012Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","563.16"
"Average Weekly Earnings","2012Q4","50 - 250","Transportation and storage (H)","Euro","710.77"
"Average Weekly Earnings","2012Q4","50 - 250","Accommodation and food service activities (I)","Euro","368.1"
"Average Weekly Earnings","2012Q4","50 - 250","Information and communication (J)","Euro","973.33"
"Average Weekly Earnings","2012Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","990.24"
"Average Weekly Earnings","2012Q4","50 - 250","Administrative and support service activities (N)","Euro","566.61"
"Average Weekly Earnings","2012Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1063.58"
"Average Weekly Earnings","2012Q4","50 - 250","Education (P)","Euro","573.5"
"Average Weekly Earnings","2012Q4","50 - 250","Human health and social work activities (Q)","Euro","489.09"
"Average Weekly Earnings","2012Q4","50 - 250","Industry (B to E)","Euro","760.7"
"Average Weekly Earnings","2012Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1002.84"
"Average Weekly Earnings","2012Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","509.52"
"Average Weekly Earnings","2013Q1","50 - 250","All NACE economic sectors","Euro","650.98"
"Average Weekly Earnings","2013Q1","50 - 250","Construction (F)","Euro","877.71"
"Average Weekly Earnings","2013Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","606.12"
"Average Weekly Earnings","2013Q1","50 - 250","Transportation and storage (H)","Euro","697.06"
"Average Weekly Earnings","2013Q1","50 - 250","Accommodation and food service activities (I)","Euro","324.15"
"Average Weekly Earnings","2013Q1","50 - 250","Information and communication (J)","Euro","1004.93"
"Average Weekly Earnings","2013Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1014.52"
"Average Weekly Earnings","2013Q1","50 - 250","Administrative and support service activities (N)","Euro","584.53"
"Average Weekly Earnings","2013Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1075.84"
"Average Weekly Earnings","2013Q1","50 - 250","Education (P)","Euro","544.93"
"Average Weekly Earnings","2013Q1","50 - 250","Human health and social work activities (Q)","Euro","443.44"
"Average Weekly Earnings","2013Q1","50 - 250","Industry (B to E)","Euro","749.9"
"Average Weekly Earnings","2013Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1186.81"
