"Statistic Label","Quarter","Employees Size","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Weekly Earnings","2018Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","593.92"
"Average Weekly Earnings","2018Q3","50 - 250","All NACE economic sectors","Euro","683.89"
"Average Weekly Earnings","2018Q3","50 - 250","Construction (F)","Euro","927.49"
"Average Weekly Earnings","2018Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","643.43"
"Average Weekly Earnings","2018Q3","50 - 250","Transportation and storage (H)","Euro","691.59"
"Average Weekly Earnings","2018Q3","50 - 250","Accommodation and food service activities (I)","Euro","395.61"
"Average Weekly Earnings","2018Q3","50 - 250","Information and communication (J)","Euro","1115.92"
"Average Weekly Earnings","2018Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","975.17"
"Average Weekly Earnings","2018Q3","50 - 250","Administrative and support service activities (N)","Euro","663.98"
"Average Weekly Earnings","2018Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1063.73"
"Average Weekly Earnings","2018Q3","50 - 250","Education (P)","Euro","509.35"
"Average Weekly Earnings","2018Q3","50 - 250","Human health and social work activities (Q)","Euro","500.06"
"Average Weekly Earnings","2018Q3","50 - 250","Industry (B to E)","Euro","788.31"
"Average Weekly Earnings","2018Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1081.59"
"Average Weekly Earnings","2018Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","579.27"
"Average Weekly Earnings","2018Q4","50 - 250","All NACE economic sectors","Euro","698.83"
"Average Weekly Earnings","2018Q4","50 - 250","Construction (F)","Euro","990.9"
"Average Weekly Earnings","2018Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","634.68"
"Average Weekly Earnings","2018Q4","50 - 250","Transportation and storage (H)","Euro","745.03"
"Average Weekly Earnings","2018Q4","50 - 250","Accommodation and food service activities (I)","Euro","375.66"
"Average Weekly Earnings","2018Q4","50 - 250","Information and communication (J)","Euro","1110.33"
"Average Weekly Earnings","2018Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","989.08"
"Average Weekly Earnings","2018Q4","50 - 250","Administrative and support service activities (N)","Euro","705.62"
"Average Weekly Earnings","2018Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1080.59"
"Average Weekly Earnings","2018Q4","50 - 250","Education (P)","Euro","529.09"
"Average Weekly Earnings","2018Q4","50 - 250","Human health and social work activities (Q)","Euro","509.12"
"Average Weekly Earnings","2018Q4","50 - 250","Industry (B to E)","Euro","803.33"
"Average Weekly Earnings","2018Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1128.9"
"Average Weekly Earnings","2018Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","610.99"
"Average Weekly Earnings","2019Q1","50 - 250","All NACE economic sectors","Euro","724.4"
"Average Weekly Earnings","2019Q1","50 - 250","Construction (F)","Euro","963.9"
"Average Weekly Earnings","2019Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","647.45"
"Average Weekly Earnings","2019Q1","50 - 250","Transportation and storage (H)","Euro","709.27"
"Average Weekly Earnings","2019Q1","50 - 250","Accommodation and food service activities (I)","Euro","367.53"
"Average Weekly Earnings","2019Q1","50 - 250","Information and communication (J)","Euro","1217.14"
"Average Weekly Earnings","2019Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1032.41"
"Average Weekly Earnings","2019Q1","50 - 250","Administrative and support service activities (N)","Euro","798.65"
"Average Weekly Earnings","2019Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1077.29"
"Average Weekly Earnings","2019Q1","50 - 250","Education (P)","Euro","511.58"
"Average Weekly Earnings","2019Q1","50 - 250","Human health and social work activities (Q)","Euro","492.6"
"Average Weekly Earnings","2019Q1","50 - 250","Industry (B to E)","Euro","829.67"
"Average Weekly Earnings","2019Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1389.69"
"Average Weekly Earnings","2019Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","609.44"
"Average Weekly Earnings","2019Q2","50 - 250","All NACE economic sectors","Euro","715.24"
"Average Weekly Earnings","2019Q2","50 - 250","Construction (F)","Euro","991.05"
"Average Weekly Earnings","2019Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","665.51"
"Average Weekly Earnings","2019Q2","50 - 250","Transportation and storage (H)","Euro","734.23"
"Average Weekly Earnings","2019Q2","50 - 250","Accommodation and food service activities (I)","Euro","391.99"
"Average Weekly Earnings","2019Q2","50 - 250","Information and communication (J)","Euro","1185.92"
"Average Weekly Earnings","2019Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","1044.23"
"Average Weekly Earnings","2019Q2","50 - 250","Administrative and support service activities (N)","Euro","674.72"
"Average Weekly Earnings","2019Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1103.47"
"Average Weekly Earnings","2019Q2","50 - 250","Education (P)","Euro","513.16"
"Average Weekly Earnings","2019Q2","50 - 250","Human health and social work activities (Q)","Euro","495.9"
"Average Weekly Earnings","2019Q2","50 - 250","Industry (B to E)","Euro","813.3"
"Average Weekly Earnings","2019Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1198.18"
"Average Weekly Earnings","2019Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","599.59"
"Average Weekly Earnings","2019Q3","50 - 250","All NACE economic sectors","Euro","705.92"
"Average Weekly Earnings","2019Q3","50 - 250","Construction (F)","Euro","1013.29"
"Average Weekly Earnings","2019Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","650.45"
"Average Weekly Earnings","2019Q3","50 - 250","Transportation and storage (H)","Euro","732.66"
"Average Weekly Earnings","2019Q3","50 - 250","Accommodation and food service activities (I)","Euro","396.99"
"Average Weekly Earnings","2019Q3","50 - 250","Information and communication (J)","Euro","1136.63"
"Average Weekly Earnings","2019Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","1008.28"
"Average Weekly Earnings","2019Q3","50 - 250","Administrative and support service activities (N)","Euro","692.17"
"Average Weekly Earnings","2019Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1054.74"
"Average Weekly Earnings","2019Q3","50 - 250","Education (P)","Euro","517.34"
"Average Weekly Earnings","2019Q3","50 - 250","Human health and social work activities (Q)","Euro","490.13"
"Average Weekly Earnings","2019Q3","50 - 250","Industry (B to E)","Euro","795.63"
"Average Weekly Earnings","2019Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1071.79"
"Average Weekly Earnings","2019Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","592.3"
"Average Weekly Earnings","2019Q4","50 - 250","All NACE economic sectors","Euro","731.48"
"Average Weekly Earnings","2019Q4","50 - 250","Construction (F)","Euro","1035.02"
"Average Weekly Earnings","2019Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","663.76"
"Average Weekly Earnings","2019Q4","50 - 250","Transportation and storage (H)","Euro","767.91"
"Average Weekly Earnings","2019Q4","50 - 250","Accommodation and food service activities (I)","Euro","385.28"
"Average Weekly Earnings","2019Q4","50 - 250","Information and communication (J)","Euro","1203.02"
"Average Weekly Earnings","2019Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","1060.58"
"Average Weekly Earnings","2019Q4","50 - 250","Administrative and support service activities (N)","Euro","721.81"
"Average Weekly Earnings","2019Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1082.41"
"Average Weekly Earnings","2019Q4","50 - 250","Education (P)","Euro","539.17"
"Average Weekly Earnings","2019Q4","50 - 250","Human health and social work activities (Q)","Euro","500.33"
"Average Weekly Earnings","2019Q4","50 - 250","Industry (B to E)","Euro","831.2"
"Average Weekly Earnings","2019Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1145.3"
"Average Weekly Earnings","2019Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","636.99"
"Average Weekly Earnings","2020Q1","50 - 250","All NACE economic sectors","Euro","755.69"
"Average Weekly Earnings","2020Q1","50 - 250","Construction (F)","Euro","978.32"
"Average Weekly Earnings","2020Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","678.88"
"Average Weekly Earnings","2020Q1","50 - 250","Transportation and storage (H)","Euro","763.28"
"Average Weekly Earnings","2020Q1","50 - 250","Accommodation and food service activities (I)","Euro","375.49"
"Average Weekly Earnings","2020Q1","50 - 250","Information and communication (J)","Euro","1298.47"
"Average Weekly Earnings","2020Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1072.84"
"Average Weekly Earnings","2020Q1","50 - 250","Administrative and support service activities (N)","Euro","831.78"
"Average Weekly Earnings","2020Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1081.77"
"Average Weekly Earnings","2020Q1","50 - 250","Education (P)","Euro","531.88"
"Average Weekly Earnings","2020Q1","50 - 250","Human health and social work activities (Q)","Euro","484.72"
"Average Weekly Earnings","2020Q1","50 - 250","Industry (B to E)","Euro","838.65"
"Average Weekly Earnings","2020Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1338.94"
"Average Weekly Earnings","2020Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","607.32"
"Average Weekly Earnings","2020Q2","50 - 250","All NACE economic sectors","Euro","740.18"
"Average Weekly Earnings","2020Q2","50 - 250","Construction (F)","Euro","934.3"
"Average Weekly Earnings","2020Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","624.39"
"Average Weekly Earnings","2020Q2","50 - 250","Transportation and storage (H)","Euro","737.19"
"Average Weekly Earnings","2020Q2","50 - 250","Accommodation and food service activities (I)","Euro","418.92"
"Average Weekly Earnings","2020Q2","50 - 250","Information and communication (J)","Euro","1240.23"
"Average Weekly Earnings","2020Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","973.49"
"Average Weekly Earnings","2020Q2","50 - 250","Administrative and support service activities (N)","Euro","687.74"
"Average Weekly Earnings","2020Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1107.51"
"Average Weekly Earnings","2020Q2","50 - 250","Education (P)","Euro","538.35"
"Average Weekly Earnings","2020Q2","50 - 250","Human health and social work activities (Q)","Euro","488.99"
"Average Weekly Earnings","2020Q2","50 - 250","Industry (B to E)","Euro","763.42"
"Average Weekly Earnings","2020Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1151.42"
"Average Weekly Earnings","2020Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","743.69"
"Average Weekly Earnings","2020Q3","50 - 250","All NACE economic sectors","Euro","737.92"
"Average Weekly Earnings","2020Q3","50 - 250","Construction (F)","Euro","1006.63"
"Average Weekly Earnings","2020Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","661.19"
"Average Weekly Earnings","2020Q3","50 - 250","Transportation and storage (H)","Euro","763.91"
"Average Weekly Earnings","2020Q3","50 - 250","Accommodation and food service activities (I)","Euro","362.44"
"Average Weekly Earnings","2020Q3","50 - 250","Information and communication (J)","Euro","1236.09"
"Average Weekly Earnings","2020Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","1004.47"
"Average Weekly Earnings","2020Q3","50 - 250","Administrative and support service activities (N)","Euro","735.96"
"Average Weekly Earnings","2020Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1098.94"
"Average Weekly Earnings","2020Q3","50 - 250","Education (P)","Euro","546.26"
"Average Weekly Earnings","2020Q3","50 - 250","Human health and social work activities (Q)","Euro","506.6"
"Average Weekly Earnings","2020Q3","50 - 250","Industry (B to E)","Euro","791.38"
"Average Weekly Earnings","2020Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1130.37"
"Average Weekly Earnings","2020Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","663.2"
"Average Weekly Earnings","2020Q4","50 - 250","All NACE economic sectors","Euro","809.59"
"Average Weekly Earnings","2020Q4","50 - 250","Construction (F)","Euro","1047.26"
"Average Weekly Earnings","2020Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","712.81"
"Average Weekly Earnings","2020Q4","50 - 250","Transportation and storage (H)","Euro","818.26"
"Average Weekly Earnings","2020Q4","50 - 250","Accommodation and food service activities (I)","Euro","393.9"
"Average Weekly Earnings","2020Q4","50 - 250","Information and communication (J)","Euro","1248.41"
"Average Weekly Earnings","2020Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","1106.14"
"Average Weekly Earnings","2020Q4","50 - 250","Administrative and support service activities (N)","Euro","799.97"
"Average Weekly Earnings","2020Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1118.44"
"Average Weekly Earnings","2020Q4","50 - 250","Education (P)","Euro","581.46"
"Average Weekly Earnings","2020Q4","50 - 250","Human health and social work activities (Q)","Euro","527.14"
"Average Weekly Earnings","2020Q4","50 - 250","Industry (B to E)","Euro","879.09"
"Average Weekly Earnings","2020Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1269.44"
"Average Weekly Earnings","2020Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","746.97"
"Average Weekly Earnings","2021Q1","50 - 250","All NACE economic sectors","Euro","815.36"
"Average Weekly Earnings","2021Q1","50 - 250","Construction (F)","Euro","923.49"
"Average Weekly Earnings","2021Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","676.02"
"Average Weekly Earnings","2021Q1","50 - 250","Transportation and storage (H)","Euro","766.88"
"Average Weekly Earnings","2021Q1","50 - 250","Accommodation and food service activities (I)","Euro","336.87"
"Average Weekly Earnings","2021Q1","50 - 250","Information and communication (J)","Euro","1410.43"
"Average Weekly Earnings","2021Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1117.67"
"Average Weekly Earnings","2021Q1","50 - 250","Administrative and support service activities (N)","Euro","875.59"
"Average Weekly Earnings","2021Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1141.69"
"Average Weekly Earnings","2021Q1","50 - 250","Education (P)","Euro","569.66"
"Average Weekly Earnings","2021Q1","50 - 250","Human health and social work activities (Q)","Euro","511.92"
"Average Weekly Earnings","2021Q1","50 - 250","Industry (B to E)","Euro","852.91"
"Average Weekly Earnings","2021Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1454.71"
"Average Weekly Earnings","2021Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","730.39"
"Average Weekly Earnings","2021Q2","50 - 250","All NACE economic sectors","Euro","805.72"
"Average Weekly Earnings","2021Q2","50 - 250","Construction (F)","Euro","984.29"
"Average Weekly Earnings","2021Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","671.85"
"Average Weekly Earnings","2021Q2","50 - 250","Transportation and storage (H)","Euro","768.78"
"Average Weekly Earnings","2021Q2","50 - 250","Accommodation and food service activities (I)","Euro","378.91"
"Average Weekly Earnings","2021Q2","50 - 250","Information and communication (J)","Euro","1328.53"
"Average Weekly Earnings","2021Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","1094.7"
"Average Weekly Earnings","2021Q2","50 - 250","Administrative and support service activities (N)","Euro","849.43"
"Average Weekly Earnings","2021Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1116.73"
"Average Weekly Earnings","2021Q2","50 - 250","Education (P)","Euro","592.26"
"Average Weekly Earnings","2021Q2","50 - 250","Human health and social work activities (Q)","Euro","531.76"
"Average Weekly Earnings","2021Q2","50 - 250","Industry (B to E)","Euro","869.05"
"Average Weekly Earnings","2021Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1260.32"
"Average Weekly Earnings","2021Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","703.88"
"Average Weekly Earnings","2021Q3","50 - 250","All NACE economic sectors","Euro","781.14"
"Average Weekly Earnings","2021Q3","50 - 250","Construction (F)","Euro","1033.24"
"Average Weekly Earnings","2021Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","680.05"
"Average Weekly Earnings","2021Q3","50 - 250","Transportation and storage (H)","Euro","800.66"
"Average Weekly Earnings","2021Q3","50 - 250","Accommodation and food service activities (I)","Euro","446.7"
"Average Weekly Earnings","2021Q3","50 - 250","Information and communication (J)","Euro","1291.46"
"Average Weekly Earnings","2021Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","1031.17"
"Average Weekly Earnings","2021Q3","50 - 250","Administrative and support service activities (N)","Euro","787.77"
"Average Weekly Earnings","2021Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1149.8"
"Average Weekly Earnings","2021Q3","50 - 250","Education (P)","Euro","597.27"
"Average Weekly Earnings","2021Q3","50 - 250","Human health and social work activities (Q)","Euro","536.3"
"Average Weekly Earnings","2021Q3","50 - 250","Industry (B to E)","Euro","857.88"
"Average Weekly Earnings","2021Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1164.32"
"Average Weekly Earnings","2021Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","722.19"
"Average Weekly Earnings","2021Q4","50 - 250","All NACE economic sectors","Euro","816.74"
"Average Weekly Earnings","2021Q4","50 - 250","Construction (F)","Euro","1053.48"
"Average Weekly Earnings","2021Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","698.67"
"Average Weekly Earnings","2021Q4","50 - 250","Transportation and storage (H)","Euro","806.88"
"Average Weekly Earnings","2021Q4","50 - 250","Accommodation and food service activities (I)","Euro","429.38"
"Average Weekly Earnings","2021Q4","50 - 250","Information and communication (J)","Euro","1310.82"
"Average Weekly Earnings","2021Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","1107.34"
"Average Weekly Earnings","2021Q4","50 - 250","Administrative and support service activities (N)","Euro","824.65"
"Average Weekly Earnings","2021Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1186.94"
"Average Weekly Earnings","2021Q4","50 - 250","Education (P)","Euro","600.09"
"Average Weekly Earnings","2021Q4","50 - 250","Human health and social work activities (Q)","Euro","541.14"
"Average Weekly Earnings","2021Q4","50 - 250","Industry (B to E)","Euro","878.93"
"Average Weekly Earnings","2021Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1254.58"
"Average Weekly Earnings","2021Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","737.53"
"Average Weekly Earnings","2022Q1","50 - 250","All NACE economic sectors","Euro","827.99"
"Average Weekly Earnings","2022Q1","50 - 250","Construction (F)","Euro","1008.4"
"Average Weekly Earnings","2022Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","715.92"
"Average Weekly Earnings","2022Q1","50 - 250","Transportation and storage (H)","Euro","777.78"
"Average Weekly Earnings","2022Q1","50 - 250","Accommodation and food service activities (I)","Euro","399.74"
"Average Weekly Earnings","2022Q1","50 - 250","Information and communication (J)","Euro","1446.54"
"Average Weekly Earnings","2022Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1148.77"
"Average Weekly Earnings","2022Q1","50 - 250","Administrative and support service activities (N)","Euro","866.59"
"Average Weekly Earnings","2022Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1161.36"
"Average Weekly Earnings","2022Q1","50 - 250","Education (P)","Euro","575.16"
"Average Weekly Earnings","2022Q1","50 - 250","Human health and social work activities (Q)","Euro","515.08"
"Average Weekly Earnings","2022Q1","50 - 250","Industry (B to E)","Euro","863.28"
"Average Weekly Earnings","2022Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1437.01"
"Average Weekly Earnings","2022Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","740.9"
"Average Weekly Earnings","2022Q2","50 - 250","All NACE economic sectors","Euro","826.41"
"Average Weekly Earnings","2022Q2","50 - 250","Construction (F)","Euro","1052.13"
"Average Weekly Earnings","2022Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","735.23"
"Average Weekly Earnings","2022Q2","50 - 250","Transportation and storage (H)","Euro","853.01"
"Average Weekly Earnings","2022Q2","50 - 250","Accommodation and food service activities (I)","Euro","426.1"
"Average Weekly Earnings","2022Q2","50 - 250","Information and communication (J)","Euro","1382.3"
"Average Weekly Earnings","2022Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","1167.61"
"Average Weekly Earnings","2022Q2","50 - 250","Administrative and support service activities (N)","Euro","841.44"
"Average Weekly Earnings","2022Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1198.13"
"Average Weekly Earnings","2022Q2","50 - 250","Education (P)","Euro","593.1"
"Average Weekly Earnings","2022Q2","50 - 250","Human health and social work activities (Q)","Euro","533.94"
"Average Weekly Earnings","2022Q2","50 - 250","Industry (B to E)","Euro","866.2"
"Average Weekly Earnings","2022Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1245.37"
"Average Weekly Earnings","2022Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","700.48"
"Average Weekly Earnings","2022Q3","50 - 250","All NACE economic sectors","Euro","807.69"
"Average Weekly Earnings","2022Q3","50 - 250","Construction (F)","Euro","1058.86"
"Average Weekly Earnings","2022Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","721.92"
"Average Weekly Earnings","2022Q3","50 - 250","Transportation and storage (H)","Euro","815.24"
"Average Weekly Earnings","2022Q3","50 - 250","Accommodation and food service activities (I)","Euro","432.17"
"Average Weekly Earnings","2022Q3","50 - 250","Information and communication (J)","Euro","1339.97"
"Average Weekly Earnings","2022Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","1089.57"
"Average Weekly Earnings","2022Q3","50 - 250","Administrative and support service activities (N)","Euro","753.63"
"Average Weekly Earnings","2022Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1197.42"
"Average Weekly Earnings","2022Q3","50 - 250","Education (P)","Euro","649.42"
"Average Weekly Earnings","2022Q3","50 - 250","Human health and social work activities (Q)","Euro","542.7"
"Average Weekly Earnings","2022Q3","50 - 250","Industry (B to E)","Euro","858.12"
"Average Weekly Earnings","2022Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1188.48"
"Average Weekly Earnings","2022Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","673.84"
"Average Weekly Earnings","2022Q4","50 - 250","All NACE economic sectors","Euro","834.87"
"Average Weekly Earnings","2022Q4","50 - 250","Construction (F)","Euro","1113.33"
"Average Weekly Earnings","2022Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","718.57"
"Average Weekly Earnings","2022Q4","50 - 250","Transportation and storage (H)","Euro","804.66"
"Average Weekly Earnings","2022Q4","50 - 250","Accommodation and food service activities (I)","Euro","418.03"
"Average Weekly Earnings","2022Q4","50 - 250","Information and communication (J)","Euro","1397.29"
"Average Weekly Earnings","2022Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","1170.43"
"Average Weekly Earnings","2022Q4","50 - 250","Administrative and support service activities (N)","Euro","762.21"
"Average Weekly Earnings","2022Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1308.71"
"Average Weekly Earnings","2022Q4","50 - 250","Education (P)","Euro","647.81"
"Average Weekly Earnings","2022Q4","50 - 250","Human health and social work activities (Q)","Euro","555.59"
"Average Weekly Earnings","2022Q4","50 - 250","Industry (B to E)","Euro","878.91"
"Average Weekly Earnings","2022Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1270.93"
"Average Weekly Earnings","2022Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","691.35"
"Average Weekly Earnings","2023Q1","50 - 250","All NACE economic sectors","Euro","854.42"
"Average Weekly Earnings","2023Q1","50 - 250","Construction (F)","Euro","1007.86"
"Average Weekly Earnings","2023Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","750.21"
"Average Weekly Earnings","2023Q1","50 - 250","Transportation and storage (H)","Euro","787.81"
"Average Weekly Earnings","2023Q1","50 - 250","Accommodation and food service activities (I)","Euro","412.51"
"Average Weekly Earnings","2023Q1","50 - 250","Information and communication (J)","Euro","1491.78"
"Average Weekly Earnings","2023Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","1207.67"
"Average Weekly Earnings","2023Q1","50 - 250","Administrative and support service activities (N)","Euro","778.67"
"Average Weekly Earnings","2023Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1230.18"
"Average Weekly Earnings","2023Q1","50 - 250","Education (P)","Euro","620.13"
"Average Weekly Earnings","2023Q1","50 - 250","Human health and social work activities (Q)","Euro","556.38"
"Average Weekly Earnings","2023Q1","50 - 250","Industry (B to E)","Euro","913.42"
"Average Weekly Earnings","2023Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1492.73"
"Average Weekly Earnings","2023Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","708"
"Average Weekly Earnings","2023Q2","50 - 250","All NACE economic sectors","Euro","850.09"
"Average Weekly Earnings","2023Q2","50 - 250","Construction (F)","Euro","1055.71"
"Average Weekly Earnings","2023Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","752.33"
"Average Weekly Earnings","2023Q2","50 - 250","Transportation and storage (H)","Euro","819.84"
"Average Weekly Earnings","2023Q2","50 - 250","Accommodation and food service activities (I)","Euro","440.12"
"Average Weekly Earnings","2023Q2","50 - 250","Information and communication (J)","Euro","1429.89"
"Average Weekly Earnings","2023Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","1241.94"
"Average Weekly Earnings","2023Q2","50 - 250","Administrative and support service activities (N)","Euro","759.01"
"Average Weekly Earnings","2023Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1245.95"
"Average Weekly Earnings","2023Q2","50 - 250","Education (P)","Euro","704.99"
"Average Weekly Earnings","2023Q2","50 - 250","Human health and social work activities (Q)","Euro","561.52"
"Average Weekly Earnings","2023Q2","50 - 250","Industry (B to E)","Euro","919.87"
"Average Weekly Earnings","2023Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1313.99"
"Average Weekly Earnings","2023Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","697.21"
"Average Weekly Earnings","2023Q3","50 - 250","All NACE economic sectors","Euro","812.6"
"Average Weekly Earnings","2023Q3","50 - 250","Construction (F)","Euro","1030.17"
"Average Weekly Earnings","2023Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","725.74"
"Average Weekly Earnings","2023Q3","50 - 250","Transportation and storage (H)","Euro","804.4"
"Average Weekly Earnings","2023Q3","50 - 250","Accommodation and food service activities (I)","Euro","441.15"
"Average Weekly Earnings","2023Q3","50 - 250","Information and communication (J)","Euro","1421.93"
"Average Weekly Earnings","2023Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","1177.82"
"Average Weekly Earnings","2023Q3","50 - 250","Administrative and support service activities (N)","Euro","765.93"
"Average Weekly Earnings","2023Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","1268.19"
"Average Weekly Earnings","2023Q3","50 - 250","Education (P)","Euro","655.3"
"Average Weekly Earnings","2023Q3","50 - 250","Human health and social work activities (Q)","Euro","558.32"
"Average Weekly Earnings","2023Q3","50 - 250","Industry (B to E)","Euro","900.11"
"Average Weekly Earnings","2023Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","1207.4"
