"Statistic Label","Year","County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Median Weekly Earnings","2011","Co. Kildare","Public administration and defence; compulsory social security (O)","Euro","873.13"
"Median Weekly Earnings","2011","Co. Kildare","Education (P)","Euro","747.86"
"Median Weekly Earnings","2011","Co. Kildare","Human health and social work activities (Q)","Euro","581.4"
"Median Weekly Earnings","2011","Co. Kildare","Industry (B to E)","Euro","705.4"
"Median Weekly Earnings","2011","Co. Kildare","Financial, insurance and real estate activities (K,L)","Euro","757.8"
"Median Weekly Earnings","2011","Co. Kildare","Arts, entertainment, recreation and other service activities (R,S)","Euro","357.76"
"Median Weekly Earnings","2011","Co. Kilkenny","All NACE economic sectors","Euro","527.42"
"Median Weekly Earnings","2011","Co. Kilkenny","Construction (F)","Euro","558.03"
"Median Weekly Earnings","2011","Co. Kilkenny","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","379.13"
"Median Weekly Earnings","2011","Co. Kilkenny","Transportation and storage (H)","Euro","478.28"
"Median Weekly Earnings","2011","Co. Kilkenny","Accommodation and food service activities (I)","Euro","281.87"
"Median Weekly Earnings","2011","Co. Kilkenny","Information and communication (J)","Euro","729.63"
"Median Weekly Earnings","2011","Co. Kilkenny","Professional, scientific and technical activities (M)","Euro","500"
"Median Weekly Earnings","2011","Co. Kilkenny","Administrative and support service activities (N)","Euro","391.52"
"Median Weekly Earnings","2011","Co. Kilkenny","Public administration and defence; compulsory social security (O)","Euro","784.76"
"Median Weekly Earnings","2011","Co. Kilkenny","Education (P)","Euro","779.92"
"Median Weekly Earnings","2011","Co. Kilkenny","Human health and social work activities (Q)","Euro","584.54"
"Median Weekly Earnings","2011","Co. Kilkenny","Industry (B to E)","Euro","673.08"
"Median Weekly Earnings","2011","Co. Kilkenny","Financial, insurance and real estate activities (K,L)","Euro","649.36"
"Median Weekly Earnings","2011","Co. Kilkenny","Arts, entertainment, recreation and other service activities (R,S)","Euro","331.4"
"Median Weekly Earnings","2011","Co. Kerry","All NACE economic sectors","Euro","459.16"
"Median Weekly Earnings","2011","Co. Kerry","Construction (F)","Euro","464.24"
"Median Weekly Earnings","2011","Co. Kerry","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","362.83"
"Median Weekly Earnings","2011","Co. Kerry","Transportation and storage (H)","Euro","454.14"
"Median Weekly Earnings","2011","Co. Kerry","Accommodation and food service activities (I)","Euro","291.78"
"Median Weekly Earnings","2011","Co. Kerry","Information and communication (J)","Euro","744.62"
"Median Weekly Earnings","2011","Co. Kerry","Professional, scientific and technical activities (M)","Euro","513.37"
"Median Weekly Earnings","2011","Co. Kerry","Administrative and support service activities (N)","Euro","331.32"
"Median Weekly Earnings","2011","Co. Kerry","Public administration and defence; compulsory social security (O)","Euro","716.45"
"Median Weekly Earnings","2011","Co. Kerry","Education (P)","Euro","805"
"Median Weekly Earnings","2011","Co. Kerry","Human health and social work activities (Q)","Euro","518.01"
"Median Weekly Earnings","2011","Co. Kerry","Industry (B to E)","Euro","640.83"
"Median Weekly Earnings","2011","Co. Kerry","Financial, insurance and real estate activities (K,L)","Euro","611.07"
"Median Weekly Earnings","2011","Co. Kerry","Arts, entertainment, recreation and other service activities (R,S)","Euro","284.18"
"Median Weekly Earnings","2011","Co. Longford","All NACE economic sectors","Euro","487.04"
"Median Weekly Earnings","2011","Co. Longford","Construction (F)","Euro","487.31"
"Median Weekly Earnings","2011","Co. Longford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","345"
"Median Weekly Earnings","2011","Co. Longford","Transportation and storage (H)","Euro","468.61"
"Median Weekly Earnings","2011","Co. Longford","Accommodation and food service activities (I)","Euro","256.38"
"Median Weekly Earnings","2011","Co. Longford","Information and communication (J)","Euro","768.2"
"Median Weekly Earnings","2011","Co. Longford","Professional, scientific and technical activities (M)","Euro","452.72"
"Median Weekly Earnings","2011","Co. Longford","Administrative and support service activities (N)","Euro","359.14"
"Median Weekly Earnings","2011","Co. Longford","Public administration and defence; compulsory social security (O)","Euro","755.02"
"Median Weekly Earnings","2011","Co. Longford","Education (P)","Euro","741.42"
"Median Weekly Earnings","2011","Co. Longford","Human health and social work activities (Q)","Euro","502.47"
"Median Weekly Earnings","2011","Co. Longford","Industry (B to E)","Euro","560.27"
"Median Weekly Earnings","2011","Co. Longford","Financial, insurance and real estate activities (K,L)","Euro","596.77"
"Median Weekly Earnings","2011","Co. Longford","Arts, entertainment, recreation and other service activities (R,S)","Euro","308.49"
"Median Weekly Earnings","2011","Co. Louth","All NACE economic sectors","Euro","503.62"
"Median Weekly Earnings","2011","Co. Louth","Construction (F)","Euro","527.38"
"Median Weekly Earnings","2011","Co. Louth","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","378.54"
"Median Weekly Earnings","2011","Co. Louth","Transportation and storage (H)","Euro","612.13"
"Median Weekly Earnings","2011","Co. Louth","Accommodation and food service activities (I)","Euro","267.08"
"Median Weekly Earnings","2011","Co. Louth","Information and communication (J)","Euro","754.38"
"Median Weekly Earnings","2011","Co. Louth","Professional, scientific and technical activities (M)","Euro","519.23"
"Median Weekly Earnings","2011","Co. Louth","Administrative and support service activities (N)","Euro","397.46"
"Median Weekly Earnings","2011","Co. Louth","Public administration and defence; compulsory social security (O)","Euro","796.17"
"Median Weekly Earnings","2011","Co. Louth","Education (P)","Euro","754.16"
"Median Weekly Earnings","2011","Co. Louth","Human health and social work activities (Q)","Euro","582.39"
"Median Weekly Earnings","2011","Co. Louth","Industry (B to E)","Euro","574.26"
"Median Weekly Earnings","2011","Co. Louth","Financial, insurance and real estate activities (K,L)","Euro","669.77"
"Median Weekly Earnings","2011","Co. Louth","Arts, entertainment, recreation and other service activities (R,S)","Euro","294.91"
"Median Weekly Earnings","2011","Co. Limerick","All NACE economic sectors","Euro","527.73"
"Median Weekly Earnings","2011","Co. Limerick","Construction (F)","Euro","553.08"
"Median Weekly Earnings","2011","Co. Limerick","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","387.45"
"Median Weekly Earnings","2011","Co. Limerick","Transportation and storage (H)","Euro","554.95"
"Median Weekly Earnings","2011","Co. Limerick","Accommodation and food service activities (I)","Euro","293.73"
"Median Weekly Earnings","2011","Co. Limerick","Information and communication (J)","Euro","663.51"
"Median Weekly Earnings","2011","Co. Limerick","Professional, scientific and technical activities (M)","Euro","562.69"
"Median Weekly Earnings","2011","Co. Limerick","Administrative and support service activities (N)","Euro","404.17"
"Median Weekly Earnings","2011","Co. Limerick","Public administration and defence; compulsory social security (O)","Euro","793.38"
"Median Weekly Earnings","2011","Co. Limerick","Education (P)","Euro","755.66"
"Median Weekly Earnings","2011","Co. Limerick","Human health and social work activities (Q)","Euro","565.08"
"Median Weekly Earnings","2011","Co. Limerick","Industry (B to E)","Euro","754.47"
"Median Weekly Earnings","2011","Co. Limerick","Financial, insurance and real estate activities (K,L)","Euro","653.85"
"Median Weekly Earnings","2011","Co. Limerick","Arts, entertainment, recreation and other service activities (R,S)","Euro","300.19"
"Median Weekly Earnings","2011","Co. Leitrim","All NACE economic sectors","Euro","503.94"
"Median Weekly Earnings","2011","Co. Leitrim","Construction (F)","Euro","486.97"
"Median Weekly Earnings","2011","Co. Leitrim","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","323.83"
"Median Weekly Earnings","2011","Co. Leitrim","Transportation and storage (H)","Euro","457.4"
"Median Weekly Earnings","2011","Co. Leitrim","Accommodation and food service activities (I)","Euro","260"
"Median Weekly Earnings","2011","Co. Leitrim","Information and communication (J)","Euro","747.1"
"Median Weekly Earnings","2011","Co. Leitrim","Professional, scientific and technical activities (M)","Euro","464.24"
"Median Weekly Earnings","2011","Co. Leitrim","Administrative and support service activities (N)","Euro","434.94"
"Median Weekly Earnings","2011","Co. Leitrim","Public administration and defence; compulsory social security (O)","Euro","778.97"
"Median Weekly Earnings","2011","Co. Leitrim","Education (P)","Euro","820.12"
"Median Weekly Earnings","2011","Co. Leitrim","Human health and social work activities (Q)","Euro","549.5"
"Median Weekly Earnings","2011","Co. Leitrim","Industry (B to E)","Euro","574.24"
"Median Weekly Earnings","2011","Co. Leitrim","Financial, insurance and real estate activities (K,L)","Euro","632.38"
"Median Weekly Earnings","2011","Co. Leitrim","Arts, entertainment, recreation and other service activities (R,S)","Euro","288.76"
"Median Weekly Earnings","2011","Co. Laois","All NACE economic sectors","Euro","540.69"
"Median Weekly Earnings","2011","Co. Laois","Construction (F)","Euro","524.05"
"Median Weekly Earnings","2011","Co. Laois","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","374.71"
"Median Weekly Earnings","2011","Co. Laois","Transportation and storage (H)","Euro","575.81"
"Median Weekly Earnings","2011","Co. Laois","Accommodation and food service activities (I)","Euro","268.01"
"Median Weekly Earnings","2011","Co. Laois","Information and communication (J)","Euro","813.73"
"Median Weekly Earnings","2011","Co. Laois","Professional, scientific and technical activities (M)","Euro","490.44"
"Median Weekly Earnings","2011","Co. Laois","Administrative and support service activities (N)","Euro","406.87"
"Median Weekly Earnings","2011","Co. Laois","Public administration and defence; compulsory social security (O)","Euro","859.81"
"Median Weekly Earnings","2011","Co. Laois","Education (P)","Euro","767.69"
"Median Weekly Earnings","2011","Co. Laois","Human health and social work activities (Q)","Euro","622.57"
"Median Weekly Earnings","2011","Co. Laois","Industry (B to E)","Euro","629.55"
"Median Weekly Earnings","2011","Co. Laois","Financial, insurance and real estate activities (K,L)","Euro","613.91"
"Median Weekly Earnings","2011","Co. Laois","Arts, entertainment, recreation and other service activities (R,S)","Euro","329.33"
"Median Weekly Earnings","2011","Co. Meath","All NACE economic sectors","Euro","566.56"
"Median Weekly Earnings","2011","Co. Meath","Construction (F)","Euro","581.47"
"Median Weekly Earnings","2011","Co. Meath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","425.25"
"Median Weekly Earnings","2011","Co. Meath","Transportation and storage (H)","Euro","671.34"
"Median Weekly Earnings","2011","Co. Meath","Accommodation and food service activities (I)","Euro","286.15"
"Median Weekly Earnings","2011","Co. Meath","Information and communication (J)","Euro","882.06"
"Median Weekly Earnings","2011","Co. Meath","Professional, scientific and technical activities (M)","Euro","603.57"
"Median Weekly Earnings","2011","Co. Meath","Administrative and support service activities (N)","Euro","424.57"
"Median Weekly Earnings","2011","Co. Meath","Public administration and defence; compulsory social security (O)","Euro","858.65"
"Median Weekly Earnings","2011","Co. Meath","Education (P)","Euro","744.09"
"Median Weekly Earnings","2011","Co. Meath","Human health and social work activities (Q)","Euro","574.97"
"Median Weekly Earnings","2011","Co. Meath","Industry (B to E)","Euro","653.8"
"Median Weekly Earnings","2011","Co. Meath","Financial, insurance and real estate activities (K,L)","Euro","731.25"
"Median Weekly Earnings","2011","Co. Meath","Arts, entertainment, recreation and other service activities (R,S)","Euro","345.4"
"Median Weekly Earnings","2011","Co. Monaghan","All NACE economic sectors","Euro","452.83"
"Median Weekly Earnings","2011","Co. Monaghan","Construction (F)","Euro","471.88"
"Median Weekly Earnings","2011","Co. Monaghan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","334.74"
"Median Weekly Earnings","2011","Co. Monaghan","Transportation and storage (H)","Euro","438.53"
"Median Weekly Earnings","2011","Co. Monaghan","Accommodation and food service activities (I)","Euro","220.2"
"Median Weekly Earnings","2011","Co. Monaghan","Information and communication (J)","Euro","743.55"
"Median Weekly Earnings","2011","Co. Monaghan","Professional, scientific and technical activities (M)","Euro","453.29"
"Median Weekly Earnings","2011","Co. Monaghan","Administrative and support service activities (N)","Euro","352"
"Median Weekly Earnings","2011","Co. Monaghan","Public administration and defence; compulsory social security (O)","Euro","786.26"
"Median Weekly Earnings","2011","Co. Monaghan","Education (P)","Euro","820.12"
"Median Weekly Earnings","2011","Co. Monaghan","Human health and social work activities (Q)","Euro","514.2"
"Median Weekly Earnings","2011","Co. Monaghan","Industry (B to E)","Euro","467.08"
"Median Weekly Earnings","2011","Co. Monaghan","Financial, insurance and real estate activities (K,L)","Euro","652.72"
"Median Weekly Earnings","2011","Co. Monaghan","Arts, entertainment, recreation and other service activities (R,S)","Euro","289.72"
"Median Weekly Earnings","2011","Co. Mayo","All NACE economic sectors","Euro","476.26"
"Median Weekly Earnings","2011","Co. Mayo","Construction (F)","Euro","511.82"
"Median Weekly Earnings","2011","Co. Mayo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","348.4"
"Median Weekly Earnings","2011","Co. Mayo","Transportation and storage (H)","Euro","515.38"
"Median Weekly Earnings","2011","Co. Mayo","Accommodation and food service activities (I)","Euro","251.42"
"Median Weekly Earnings","2011","Co. Mayo","Information and communication (J)","Euro","744.62"
"Median Weekly Earnings","2011","Co. Mayo","Professional, scientific and technical activities (M)","Euro","500"
"Median Weekly Earnings","2011","Co. Mayo","Administrative and support service activities (N)","Euro","414.81"
"Median Weekly Earnings","2011","Co. Mayo","Public administration and defence; compulsory social security (O)","Euro","715.34"
"Median Weekly Earnings","2011","Co. Mayo","Education (P)","Euro","813.86"
"Median Weekly Earnings","2011","Co. Mayo","Human health and social work activities (Q)","Euro","540.48"
"Median Weekly Earnings","2011","Co. Mayo","Industry (B to E)","Euro","580.5"
"Median Weekly Earnings","2011","Co. Mayo","Financial, insurance and real estate activities (K,L)","Euro","635.94"
"Median Weekly Earnings","2011","Co. Mayo","Arts, entertainment, recreation and other service activities (R,S)","Euro","285.66"
"Median Weekly Earnings","2011","Co. Offaly","All NACE economic sectors","Euro","515.71"
"Median Weekly Earnings","2011","Co. Offaly","Construction (F)","Euro","517.31"
"Median Weekly Earnings","2011","Co. Offaly","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","356.62"
"Median Weekly Earnings","2011","Co. Offaly","Transportation and storage (H)","Euro","505.27"
"Median Weekly Earnings","2011","Co. Offaly","Accommodation and food service activities (I)","Euro","241.1"
"Median Weekly Earnings","2011","Co. Offaly","Information and communication (J)","Euro","781.5"
"Median Weekly Earnings","2011","Co. Offaly","Professional, scientific and technical activities (M)","Euro","494.23"
"Median Weekly Earnings","2011","Co. Offaly","Administrative and support service activities (N)","Euro","399.39"
"Median Weekly Earnings","2011","Co. Offaly","Public administration and defence; compulsory social security (O)","Euro","776.31"
"Median Weekly Earnings","2011","Co. Offaly","Education (P)","Euro","764.4"
"Median Weekly Earnings","2011","Co. Offaly","Human health and social work activities (Q)","Euro","595.81"
"Median Weekly Earnings","2011","Co. Offaly","Industry (B to E)","Euro","572.55"
"Median Weekly Earnings","2011","Co. Offaly","Financial, insurance and real estate activities (K,L)","Euro","647.16"
"Median Weekly Earnings","2011","Co. Offaly","Arts, entertainment, recreation and other service activities (R,S)","Euro","280.67"
"Median Weekly Earnings","2011","Co. Roscommon","All NACE economic sectors","Euro","523.25"
"Median Weekly Earnings","2011","Co. Roscommon","Construction (F)","Euro","482.35"
"Median Weekly Earnings","2011","Co. Roscommon","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","350"
"Median Weekly Earnings","2011","Co. Roscommon","Transportation and storage (H)","Euro","543.65"
"Median Weekly Earnings","2011","Co. Roscommon","Accommodation and food service activities (I)","Euro","232.91"
"Median Weekly Earnings","2011","Co. Roscommon","Information and communication (J)","Euro","785.94"
"Median Weekly Earnings","2011","Co. Roscommon","Professional, scientific and technical activities (M)","Euro","500"
"Median Weekly Earnings","2011","Co. Roscommon","Administrative and support service activities (N)","Euro","350.47"
"Median Weekly Earnings","2011","Co. Roscommon","Public administration and defence; compulsory social security (O)","Euro","767.69"
"Median Weekly Earnings","2011","Co. Roscommon","Education (P)","Euro","813.01"
"Median Weekly Earnings","2011","Co. Roscommon","Human health and social work activities (Q)","Euro","570.78"
"Median Weekly Earnings","2011","Co. Roscommon","Industry (B to E)","Euro","597.32"
"Median Weekly Earnings","2011","Co. Roscommon","Financial, insurance and real estate activities (K,L)","Euro","620.34"
"Median Weekly Earnings","2011","Co. Roscommon","Arts, entertainment, recreation and other service activities (R,S)","Euro","322.8"
"Median Weekly Earnings","2011","Co. Sligo","All NACE economic sectors","Euro","517.75"
"Median Weekly Earnings","2011","Co. Sligo","Construction (F)","Euro","457.32"
"Median Weekly Earnings","2011","Co. Sligo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","352.05"
"Median Weekly Earnings","2011","Co. Sligo","Transportation and storage (H)","Euro","517.61"
"Median Weekly Earnings","2011","Co. Sligo","Accommodation and food service activities (I)","Euro","250"
"Median Weekly Earnings","2011","Co. Sligo","Information and communication (J)","Euro","708.24"
"Median Weekly Earnings","2011","Co. Sligo","Professional, scientific and technical activities (M)","Euro","461.17"
"Median Weekly Earnings","2011","Co. Sligo","Administrative and support service activities (N)","Euro","385.09"
"Median Weekly Earnings","2011","Co. Sligo","Public administration and defence; compulsory social security (O)","Euro","774.02"
"Median Weekly Earnings","2011","Co. Sligo","Education (P)","Euro","781.65"
"Median Weekly Earnings","2011","Co. Sligo","Human health and social work activities (Q)","Euro","641.36"
"Median Weekly Earnings","2011","Co. Sligo","Industry (B to E)","Euro","600.76"
"Median Weekly Earnings","2011","Co. Sligo","Financial, insurance and real estate activities (K,L)","Euro","645.29"
"Median Weekly Earnings","2011","Co. Sligo","Arts, entertainment, recreation and other service activities (R,S)","Euro","278.6"
"Median Weekly Earnings","2011","Co. Tipperary","All NACE economic sectors","Euro","506.61"
"Median Weekly Earnings","2011","Co. Tipperary","Construction (F)","Euro","523.67"
"Median Weekly Earnings","2011","Co. Tipperary","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","359.67"
"Median Weekly Earnings","2011","Co. Tipperary","Transportation and storage (H)","Euro","475.16"
"Median Weekly Earnings","2011","Co. Tipperary","Accommodation and food service activities (I)","Euro","239.45"
"Median Weekly Earnings","2011","Co. Tipperary","Information and communication (J)","Euro","658.58"
"Median Weekly Earnings","2011","Co. Tipperary","Professional, scientific and technical activities (M)","Euro","483.26"
